,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3677,3040529,WHS3_41,COUNTRY,SWZ,AFR,YEAR,Africa,,,2005,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
3678,3041265,WHS3_41,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,,,1982,,,,,,,555,555.0,,,,2024-07-12T15:46:58.707+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
3679,3041861,WHS3_41,COUNTRY,PNG,WPR,YEAR,Western Pacific,,,2016,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3680,3042520,WHS3_41,COUNTRY,CHE,EUR,YEAR,Europe,,,1976,,,,,,,6,6.0,,,,2024-07-12T15:46:58.707+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
3681,3043954,WHS3_41,COUNTRY,KGZ,EUR,YEAR,Europe,,,1994,,,,,,,304,304.0,,,,2024-07-12T15:46:58.707+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
3682,3044046,WHS3_41,COUNTRY,TTO,AMR,YEAR,Americas,,,1995,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
3683,3044568,WHS3_41,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,,,1988,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
3684,3045119,WHS3_41,COUNTRY,LUX,EUR,YEAR,Europe,,,2016,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3685,3046915,WHS3_41,COUNTRY,SLB,WPR,YEAR,Western Pacific,,,2003,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
3686,3047458,WHS3_41,COUNTRY,AGO,AFR,YEAR,Africa,,,1974,,,,,,,27,27.0,,,,2024-07-12T15:46:58.707+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
