,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1972,7109359,CHOLERA_0000000001,COUNTRY,TCD,YEAR,AFR,Africa,,,1971,,,,,,,8230,,,,,2013-06-11T14:04:28+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
1973,7109643,CHOLERA_0000000001,COUNTRY,DOM,YEAR,AMR,Americas,,,2015,,,,,,,546,546.0,,,,2016-09-16T09:32:19+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1974,7109959,CHOLERA_0000000001,COUNTRY,DZA,YEAR,AFR,Africa,,,1979,,,,,,,2513,,,,,2013-06-11T14:04:28+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
1975,7119869,CHOLERA_0000000001,COUNTRY,GIN,YEAR,AFR,Africa,,,1994,,,,,,,31415,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
1976,7120379,CHOLERA_0000000001,COUNTRY,GTM,YEAR,AMR,Americas,,,2003,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1977,7123745,CHOLERA_0000000001,COUNTRY,JPN,YEAR,WPR,Western Pacific,,,1976,,,,,,,6,,,,,2013-06-11T14:04:28+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
1978,7130196,CHOLERA_0000000001,COUNTRY,NER,YEAR,AFR,Africa,,,1991,,,,,,,3238,,,,,2013-06-11T14:04:28+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
1979,7131967,CHOLERA_0000000001,COUNTRY,COM,YEAR,AFR,Africa,,,1975,,,,,,,2675,,,,,2013-06-11T14:04:28+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
1980,7132163,CHOLERA_0000000001,COUNTRY,POL,YEAR,EUR,Europe,,,1994,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
1981,7139300,CHOLERA_0000000001,COUNTRY,BEN,YEAR,AFR,Africa,,,1984,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
1982,7140710,CHOLERA_0000000001,COUNTRY,CIV,YEAR,AFR,Africa,,,1971,,,,,,,668,,,,,2013-06-11T14:04:28+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
1983,7145118,CHOLERA_0000000001,COUNTRY,SLV,YEAR,AMR,Americas,,,1993,,,,,,,6573,,,,,2013-06-11T14:04:28+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
