,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1980,6441479,MALARIA_CONF_CASES,COUNTRY,SWZ,AFR,YEAR,Africa,,2017,,,,,,,,1 127,1127.0,,,,2023-05-10T14:48:21+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1981,6445041,MALARIA_CONF_CASES,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,2018,,,,,,,,54,54.0,,,,2023-05-10T14:48:24+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1982,6446078,MALARIA_CONF_CASES,COUNTRY,CIV,AFR,YEAR,Africa,,2019,,,,,,,,5 935 178,5935178.0,,,,2023-05-10T14:48:11+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1983,6448032,MALARIA_CONF_CASES,COUNTRY,MOZ,AFR,YEAR,Africa,,2018,,,,,,,,10 304 472,10304472.0,,,,2023-05-10T14:48:08+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1984,6448764,MALARIA_CONF_CASES,COUNTRY,AZE,EUR,YEAR,Europe,,2012,,,,,,,,4,4.0,,,,2023-05-10T14:48:16+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1985,6449621,MALARIA_CONF_CASES,COUNTRY,SLB,WPR,YEAR,Western Pacific,,2013,,,,,,,,25 609,25609.0,,,,2023-05-10T14:48:20+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1986,6455137,MALARIA_CONF_CASES,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,,2015,,,,,,,,2 620,2620.0,,,,2023-05-10T14:48:23+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1987,6455334,MALARIA_CONF_CASES,COUNTRY,GTM,AMR,YEAR,Americas,,2002,,,,,,,,35 540,35540.0,,,,2023-05-10T14:48:23+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1988,6471209,MALARIA_CONF_CASES,COUNTRY,UZB,EUR,YEAR,Europe,,2006,,,,,,,,149,149.0,,,,2023-05-10T14:48:11+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1989,6471892,MALARIA_CONF_CASES,COUNTRY,LAO,WPR,YEAR,Western Pacific,,2000,,,,,,,,40 106,40106.0,,,,2023-05-10T14:48:01+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1990,6472929,MALARIA_CONF_CASES,COUNTRY,KEN,AFR,YEAR,Africa,,2013,,,,,,,,2 375 129,2375129.0,,,,2023-05-10T14:48:14+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
