,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6128,1970654,WHS3_43,COUNTRY,CPV,YEAR,AFR,Africa,,1998,,,,,,,,47,47.0,,,,2024-07-12T15:46:58.707+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
6129,1975059,WHS3_43,COUNTRY,THA,YEAR,SEAR,South-East Asia,,2001,,,,,,,,72,72.0,,,,2024-07-12T15:46:58.707+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6130,1976955,WHS3_43,COUNTRY,BEN,YEAR,AFR,Africa,,2021,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6131,1984134,WHS3_43,COUNTRY,BRB,YEAR,AMR,Americas,,2013,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6132,1989437,WHS3_43,COUNTRY,POL,YEAR,EUR,Europe,,1990,,,,,,,,292,292.0,,,,2024-07-12T15:46:58.707+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
6133,1996558,WHS3_43,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,1979,,,,,,,,1257,1257.0,,,,2024-07-12T15:46:58.707+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
6134,1996929,WHS3_43,COUNTRY,CZE,YEAR,EUR,Europe,,1990,,,,,,,,48,48.0,,,,2024-07-12T15:46:58.707+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
6135,1997675,WHS3_43,COUNTRY,BRB,YEAR,AMR,Americas,,2005,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6136,2002197,WHS3_43,COUNTRY,NIU,YEAR,WPR,Western Pacific,,2012,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6137,2003369,WHS3_43,COUNTRY,MMR,YEAR,SEAR,South-East Asia,,1977,,,,,,,,15 056,15056.0,,,,2024-07-12T15:46:58.707+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
6138,2004496,WHS3_43,COUNTRY,PRY,YEAR,AMR,Americas,,2010,,,,,,,,1,1.0,,,,2024-07-12T15:46:58.707+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6139,2009105,WHS3_43,COUNTRY,GMB,YEAR,AFR,Africa,,1997,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
6140,2010154,WHS3_43,COUNTRY,HRV,YEAR,EUR,Europe,,2000,,,,,,,,196,196.0,,,,2024-07-12T15:46:58.707+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6141,2010603,WHS3_43,COUNTRY,PRY,YEAR,AMR,Americas,,1993,,,,,,,,272,272.0,,,,2024-07-12T15:46:58.707+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
6142,2010883,WHS3_43,COUNTRY,DNK,YEAR,EUR,Europe,,1977,,,,,,,,11 453,11453.0,,,,2024-07-12T15:46:58.707+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
6143,2011040,WHS3_43,WORLDBANKINCOMEGROUP,WB_LMI,YEAR,,,,2017,,,,,,,,38 878,38878.0,,,,2024-07-12T15:46:58.707+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6144,2011108,WHS3_43,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,,2010,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6145,2016243,WHS3_43,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,,2012,,,,,,,,4,4.0,,,,2024-07-12T15:46:58.707+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6146,2016896,WHS3_43,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,,1993,,,,,,,,28,28.0,,,,2024-07-12T15:46:58.707+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
6147,2017055,WHS3_43,COUNTRY,ASM,YEAR,WPR,Western Pacific,,1981,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
6148,2017277,WHS3_43,COUNTRY,BGR,YEAR,EUR,Europe,,1994,,,,,,,,22,22.0,,,,2024-07-12T15:46:58.707+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
6149,2017866,WHS3_43,COUNTRY,SRB,YEAR,EUR,Europe,,1992,,,,,,,,236,236.0,,,,2024-07-12T15:46:58.707+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
6150,2024142,WHS3_43,COUNTRY,ZWE,YEAR,AFR,Africa,,1995,,,,,,,,34,34.0,,,,2024-07-12T15:46:58.707+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
6151,2030135,WHS3_43,COUNTRY,BRB,YEAR,AMR,Americas,,1998,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
6152,2030590,WHS3_43,COUNTRY,BGR,YEAR,EUR,Europe,,1989,,,,,,,,15,15.0,,,,2024-07-12T15:46:58.707+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
6153,2031276,WHS3_43,COUNTRY,NOR,YEAR,EUR,Europe,,1981,,,,,,,,2017,2017.0,,,,2024-07-12T15:46:58.707+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
6154,2039058,WHS3_43,COUNTRY,LUX,YEAR,EUR,Europe,,2012,,,,,,,,10,10.0,,,,2024-07-12T15:46:58.707+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6155,2039085,WHS3_43,COUNTRY,BFA,YEAR,AFR,Africa,,1994,,,,,,,,233,233.0,,,,2024-07-12T15:46:58.707+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
6156,2044201,WHS3_43,COUNTRY,KAZ,YEAR,EUR,Europe,,2014,,,,,,,,23,23.0,,,,2024-07-12T15:46:58.707+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6157,2044360,WHS3_43,COUNTRY,PRY,YEAR,AMR,Americas,,1986,,,,,,,,111,111.0,,,,2024-07-12T15:46:58.707+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
6158,2050163,WHS3_43,COUNTRY,HND,YEAR,AMR,Americas,,1987,,,,,,,,519,519.0,,,,2024-07-12T15:46:58.707+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
6159,2050717,WHS3_43,GLOBAL,GLOBAL,YEAR,,,,1981,,,,,,,,1 795 493,1795493.0,,,,2024-07-12T15:46:58.707+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
6160,2052353,WHS3_43,COUNTRY,BEL,YEAR,EUR,Europe,,2014,,,,,,,,1501,1501.0,,,,2024-07-12T15:46:58.707+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6161,2052764,WHS3_43,COUNTRY,ISR,YEAR,EUR,Europe,,1990,,,,,,,,155,155.0,,,,2024-07-12T15:46:58.707+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
6162,2057197,WHS3_43,COUNTRY,LUX,YEAR,EUR,Europe,,1977,,,,,,,,56,56.0,,,,2024-07-12T15:46:58.707+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
6163,2057832,WHS3_43,COUNTRY,FSM,YEAR,WPR,Western Pacific,,2009,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
