,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2374,5241461,WHS3_45,COUNTRY,TUR,YEAR,EUR,Europe,,,2012,,,,,,,No data,,,,,2019-10-11T14:09:31+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2375,5244743,WHS3_45,COUNTRY,NAM,YEAR,AFR,Africa,,,2014,,,,,,,No data,,,,,2019-10-11T13:32:16+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2376,5246800,WHS3_45,COUNTRY,CHE,YEAR,EUR,Europe,,,2021,,,,,,,No data,,,,,2022-09-06T14:22:14+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2377,5247884,WHS3_45,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2021,,,,,,,75394,75394.0,,,,2022-09-06T14:22:14+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2378,5250664,WHS3_45,COUNTRY,MUS,YEAR,AFR,Africa,,,2021,,,,,,,No data,,,,,2022-09-06T14:22:14+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2379,5253077,WHS3_45,COUNTRY,TTO,YEAR,AMR,Americas,,,2013,,,,,,,38,38.0,,,,2019-10-11T14:09:10+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2380,5257738,WHS3_45,COUNTRY,HRV,YEAR,EUR,Europe,,,2014,,,,,,,No data,,,,,2019-10-11T13:32:16+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2381,5258620,WHS3_45,COUNTRY,QAT,YEAR,EMR,Eastern Mediterranean,,,2019,,,,,,,22,22.0,,,,2020-09-04T12:29:29+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2382,5264616,WHS3_45,COUNTRY,CPV,YEAR,AFR,Africa,,,2013,,,,,,,No data,,,,,2019-10-11T14:09:10+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2383,5265836,WHS3_45,COUNTRY,PRY,YEAR,AMR,Americas,,,2018,,,,,,,345,345.0,,,,2019-10-07T13:37:53+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2384,5268097,WHS3_45,COUNTRY,GIN,YEAR,AFR,Africa,,,2012,,,,,,,438,438.0,,,,2019-10-11T14:09:19+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
